transaction_id,account_id,transaction_date,transaction_time,amount,currency,merchant_name,merchant_category_code,transaction_description,category,subcategory,transaction_type,is_recurring,recurring_frequency,balance_after_transaction,location_city,location_state,location_country
TXN000038,ACC10033,29/03/2024,,-2.99,USD,,,Overdraft Fee,Fees,Overdraft,debit,FALSE,,60,,,USA
TXN000039,ACC10034,05/04/2024,13:58:10,-65,USD,PG&E,4900,PG&E Utility Payment,Utilities,Electricity,payment,TRUE,monthly,134,Oakland,CA,USA
TXN000040,ACC10035,03/04/2024,8:03:52,-91.56,USD,Safeway,5411,Safeway Grocery Shopping,Groceries,Supermarkets,debit,FALSE,,301.29,Seattle,WA,USA
TXN000041,ACC10036,28/03/2024,10:38:40,1200,USD,ACME Payroll,0,Payroll Deposit,Salary,,deposit,TRUE,monthly,2210,,,USA
TXN000042,ACC10037,01/04/2024,9:09:17,-13.99,USD,Peet's Coffee,5814,Peet's Coffee SF,Food & Drink,Coffee Shops,debit,FALSE,,478,San Francisco,CA,USA
TXN000043,ACC10038,30/03/2024,21:33:21,-60,CAD,Tim Hortons,5814,Tim Hortons Toronto Order,Food & Drink,Coffee Shops,debit,FALSE,,401,Toronto,ON,CAN
TXN000044,ACC10039,02/04/2024,12:52:44,-100,GBP,TFL,4111,Transport for London Fare,Transportation,Public Transit,debit,FALSE,,780,London,,GBR
TXN000045,ACC10040,31/03/2024,13:58:34,-75,USD,GEICO,6300,GEICO Renters Insurance,Insurance,Renters,payment,TRUE,monthly,230,Austin,TX,USA
TXN000046,ACC10041,03/04/2024,10:27:13,-115.2,USD,Amazon,5942,Amazon Home Essentials,Home,Household Goods,debit,FALSE,,780.93,Seattle,WA,USA
TXN000047,ACC10042,05/04/2024,9:23:03,-55,USD,Lyft,4121,Lyft Ride Austin,Transportation,Taxi/Rideshare,debit,FALSE,,320,Austin,TX,USA
TXN000048,ACC10043,29/03/2024,19:11:40,-1,USD,,,Account Verification Debit,Other,,debit,FALSE,,999,,,USA
TXN000049,ACC10044,30/03/2024,15:22:51,-1500,CHF,Luxury Autos,5511,Luxury Autos Down Payment,Transportation,Vehicle,debit,FALSE,,1000,Zurich,,CHE
TXN000050,ACC10045,01/04/2024,20:04:07,200,EUR,Deutsche Bank,6011,Incoming Transfer,Transfer,Bank Transfer,credit,FALSE,,700,Munich,,DEU
TXN820001,ACC10001,15/06/2023,14:23:10,-85.22,USD,Whole Foods Market,5411,Whole Foods Market - San Francisco CA,Groceries,Supermarkets,debit,FALSE,,3218.54,San Francisco,CA,USA
TXN820002,ACC10002,01/06/2023,,2450,USD,Acme Payroll Inc.,0,Payroll direct deposit,Salary,,deposit,TRUE,monthly,4120.32,,,USA
TXN820003,ACC10001,19/06/2023,8:05:47,-29.75,USD,Uber,4121,Uber trip - New York NY,Transportation,Ride Sharing,payment,FALSE,,3188.79,New York,NY,USA
TXN820004,ACC10003,04/06/2023,10:12:16,-102.11,USD,PG&E,4900,PG&E electricity June,Utilities,Electric,debit,TRUE,monthly,1576.41,Oakland,CA,USA
TXN820005,ACC10004,10/06/2023,19:47:02,-46.98,USD,Chipotle,5812,Chipotle order - Seattle WA,Food & Drink,Fast Food,debit,FALSE,,628.52,Seattle,WA,USA
TXN820006,ACC10005,14/06/2023,16:18:38,250,USD,,0,Transfer from external account,Transfer,Incoming,deposit,FALSE,,1450,,,USA
TXN820007,ACC10006,12/06/2023,13:30:44,-163.45,USD,Sunset Villas,6513,Rent payment - June,Rent,Apartment,payment,TRUE,monthly,1171.11,Austin,TX,USA
TXN820008,ACC10004,21/06/2023,15:01:32,97.34,USD,IRS Refund,0,IRS direct deposit refund,Refund,Tax,credit,FALSE,,725.86,,,USA
TXN820009,ACC10007,13/06/2023,7:22:17,-21.79,USD,AMC Theatres,7832,Movie ticket purchase,Entertainment,Movies,debit,FALSE,,314.41,Chicago,IL,USA
TXN820010,ACC10008,20/06/2023,9:08:31,-4.5,USD,,6011,ATM withdrawal fee,Fees,ATM,withdrawal,FALSE,,1236.98,,,USA
TXN820011,ACC10009,05/06/2023,17:43:59,-120,USD,Blue Cross Health,6300,June health insurance premium,Insurance,Health,payment,TRUE,monthly,954.55,Houston,TX,USA
TXN820012,ACC10010,11/06/2023,12:55:16,-97.6,USD,,0,Internal transfer out,Transfer,Outgoing,transfer,FALSE,,227.21,,,USA
TXN820013,ACC10011,18/06/2023,11:40:05,-41.18,USD,Safeway,5411,Groceries - Safeway,Groceries,Supermarkets,debit,FALSE,,1791.3,Phoenix,AZ,USA
TXN820014,ACC10012,07/06/2023,21:11:24,1200,USD,,0,Bank deposit,Income,Bonus,deposit,FALSE,,1544.34,,,USA
TXN820015,ACC10013,22/06/2023,7:58:50,-76.29,USD,IKEA,5712,IKEA home goods,Home,Furnishings,debit,FALSE,,685.77,Los Angeles,CA,USA
TXN820016,ACC10014,09/06/2023,18:02:36,-13.15,USD,Netflix,4899,Netflix subscription,Entertainment,Streaming,debit,TRUE,monthly,988,Austin,TX,USA
TXN820017,ACC10015,03/06/2023,15:12:06,-2.5,USD,,6011,Monthly account maintenance fee,Fees,Account Maintenance,debit,FALSE,,131.45,,,USA
TXN820018,ACC10016,19/06/2023,7:13:51,-48.79,USD,Starbucks,5814,Starbucks - Seattle WA,Food & Drink,Coffee Shop,debit,FALSE,,876.38,Seattle,WA,USA
TXN820019,ACC10017,21/06/2023,20:35:19,-93.67,USD,Lyft,4121,Lyft ride - Chicago IL,Transportation,Ride Sharing,debit,FALSE,,561.23,Chicago,IL,USA
TXN820020,ACC10018,11/06/2023,9:15:13,200,USD,,0,Transfer from savings,Transfer,Incoming,deposit,FALSE,,367.19,,,USA
TXN820021,ACC10019,16/06/2023,22:39:34,-189.99,USD,Apple Store,5732,Apple Store - Los Angeles CA,Home,Electronics,debit,FALSE,,512,Los Angeles,CA,USA
TXN820022,ACC10020,13/06/2023,5:01:15,-0.01,USD,,0,Micro debit test,Other,,debit,FALSE,,100,,,USA
TXN820023,ACC10021,06/06/2023,11:23:49,-55,USD,Comcast,4899,Internet bill June,Utilities,Internet,payment,TRUE,monthly,846.17,San Francisco,CA,USA
TXN820024,ACC10022,17/06/2023,10:22:05,110,USD,Venmo,4829,Venmo incoming transfer,Transfer,Incoming,deposit,FALSE,,218.12,,,USA
TXN820025,ACC10023,18/06/2023,18:49:22,-120,USD,State Farm,6300,Car insurance premium,Insurance,Auto,payment,TRUE,monthly,894.65,Seattle,WA,USA
TXN820026,ACC10024,15/06/2023,23:54:58,-15,USD,Spotify,5735,Spotify subscription,Entertainment,Music Streaming,payment,TRUE,monthly,632.42,San Francisco,CA,USA
TXN820027,ACC10011,25/06/2023,14:44:33,-0.01,USD,,0,Micro test debit,Other,,debit,FALSE,,1791.29,,,USA
TXN820028,ACC10025,14/06/2023,7:11:45,-57.67,USD,Trader Joe's,5411,Grocery store purchase,Groceries,Supermarkets,debit,FALSE,,729.51,San Francisco,CA,USA
TXN820029,ACC10026,22/06/2023,13:55:22,-89,USD,United Airlines,4511,United Airlines ticket,Travel,Airfare,payment,FALSE,,1211.44,Chicago,IL,USA
TXN820030,ACC10027,07/06/2023,16:09:12,1570,EUR,Lotto Corp,7996,Lottery winnings payout,Income,Lottery,credit,FALSE,,2221.17,Munich,BY,DEU
TXN820031,ACC10028,08/06/2023,11:44:08,-48.9,EUR,Edeka,5411,Groceries - Edeka,Groceries,Supermarkets,debit,FALSE,,841.1,Berlin,BE,DEU
TXN820032,ACC10029,09/06/2023,14:39:10,-1100,EUR,AlpenResort,7011,Hotel stay - Zermatt,Travel,Hotel,debit,FALSE,,301,Zermatt,,CHE
TXN820033,ACC10030,16/06/2023,12:16:22,120,CHF,Swiss Refunds AG,0,Swiss tax refund,Refund,Tax,credit,FALSE,,620,Zurich,,CHE
TXN820034,ACC10031,05/06/2023,9:05:29,-1,CHF,,6011,ATM withdrawal fee,Fees,ATM,withdrawal,FALSE,,799,,,CHE
TXN820035,ACC10032,14/06/2023,10:34:36,-35.12,EUR,Carrefour,5411,Groceries - Carrefour,Groceries,Supermarkets,debit,FALSE,,1101.81,Paris,IDF,FRA
TXN820036,ACC10033,18/06/2023,13:52:44,200000,JPY,Mizuho Bank,6011,Large deposit,Income,Savings,deposit,FALSE,,1201000,Tokyo,,JPN
TXN820037,ACC10034,12/06/2023,18:46:28,-78000,JPY,Toyota Motors,5511,Vehicle purchase,Transportation,Vehicle,payment,FALSE,,1120000,Osaka,,JPN
TXN820038,ACC10035,10/06/2023,21:50:13,-180.55,CAD,Metro,5411,Metro groceries - Toronto,Groceries,Supermarkets,debit,FALSE,,451.12,Toronto,ON,CAN
TXN820039,ACC10036,15/06/2023,10:00:11,-91,CAD,Sun Life,6300,Life insurance premium,Insurance,Life,payment,TRUE,monthly,1200,Toronto,ON,CAN
TXN820040,ACC10037,08/06/2023,,120,CAD,,0,Bank transfer,Transfer,Incoming,deposit,FALSE,,320.11,,,CAN
TXN820041,ACC10038,13/06/2023,19:57:28,-200,GBP,British Gas,4900,Utility bill payment,Utilities,Gas,payment,TRUE,monthly,942,London,,GBR
TXN820042,ACC10039,20/06/2023,21:31:46,-6.75,GBP,,6011,ATM withdrawal fee,Fees,ATM,withdrawal,FALSE,,782,,,GBR
TXN820043,ACC10040,12/06/2023,12:20:33,20,GBP,HMRC,0,Tax refund,Refund,Tax,credit,FALSE,,801,London,,GBR
TXN820044,ACC10041,18/06/2023,9:12:23,-133.9,EUR,SNCF,4112,Train ticket purchase,Transportation,Rail,debit,FALSE,,799.11,Paris,IDF,FRA
TXN820045,ACC10042,14/06/2023,17:47:15,-1250,EUR,Luxury Autos,5511,Auto purchase - Berlin,Transportation,Vehicle,payment,FALSE,,1123.9,Berlin,BE,DEU
TXN820046,ACC10043,15/06/2023,8:31:56,-6.25,USD,,6011,ATM withdrawal fee,Fees,ATM,withdrawal,FALSE,,1311.12,,,USA
TXN820047,ACC10044,13/06/2023,20:10:44,0,USD,,0,Test transaction,Other,,deposit,FALSE,,500,,,USA
TXN820048,ACC10045,09/06/2023,17:30:00,-125,USD,Allstate,6300,Homeowners insurance,Insurance,Home,payment,TRUE,monthly,1750,Phoenix,AZ,USA
TXN820049,ACC10046,19/06/2023,14:11:21,-195.36,USD,PG&E,4900,PG&E utility bill,Utilities,Electric,payment,TRUE,monthly,1221.99,Oakland,CA,USA
TXN820050,ACC10047,08/06/2023,6:23:16,-1200,USD,Sunset Villas,6513,Monthly rent payment,Rent,Apartment,payment,TRUE,monthly,2150,San Francisco,CA,USA
TXN300001,ACC40001,02/10/2023,9:18:22,-127.43,USD,Whole Foods Market,5411,Whole Foods Market SF CA 1023,Groceries,Supermarkets,debit,FALSE,,3220.56,San Francisco,CA,USA
TXN300002,ACC40002,02/10/2023,19:01:10,-79.99,USD,PG&E,4900,PG&E Monthly Electricity Bill,Utilities,Electricity,payment,TRUE,monthly,1519.27,Oakland,CA,USA
TXN300003,ACC40003,03/10/2023,8:45:21,2000,USD,Wave Payroll,0,Direct Deposit Payroll - Wave,Salary,,deposit,TRUE,monthly,4125.1,,,USA
TXN300004,ACC40004,04/10/2023,12:23:57,-22.67,USD,Starbucks,5814,Starbucks Coffee Shop 2110,Food & Drink,Coffee Shops,debit,FALSE,,1198.57,Seattle,WA,USA
TXN300005,ACC40005,04/10/2023,7:31:40,-1250,USD,Sunset Villas,6513,Rent Payment Sunset Villas,Rent,Apartment,payment,TRUE,monthly,2300.42,Austin,TX,USA
TXN300006,ACC40001,05/10/2023,17:10:10,-14.5,USD,Uber,4121,Uber Trip 10/5 Downtown,Transportation,Rideshare,debit,FALSE,,3206.06,San Francisco,CA,USA
TXN300007,ACC40002,05/10/2023,12:12:12,-76.23,USD,Safeway,5411,Safeway Grocery Market,Groceries,Supermarkets,debit,FALSE,,1443.04,San Jose,CA,USA
TXN300008,ACC40003,06/10/2023,10:45:30,-13.75,USD,Netflix,4899,Netflix Monthly Subscription,Entertainment,Streaming Services,payment,TRUE,monthly,4111.35,,,USA
TXN300009,ACC40004,07/10/2023,18:20:08,-48.2,USD,Shell Oil,5541,Shell Gasoline Station 307,Transportation,Gasoline,debit,FALSE,,1150.37,Los Angeles,CA,USA
TXN300010,ACC40005,07/10/2023,15:50:36,-75.75,USD,Blue Cross Health,6300,Health Insurance Payment,Insurance,Health,payment,TRUE,monthly,2224.67,,,USA
TXN300011,ACC40001,08/10/2023,13:25:43,20,USD,Starbucks,5814,Refund Starbucks Coffee,Refund,Purchase Refund,credit,FALSE,,3226.06,Seattle,WA,USA
TXN300012,ACC40002,08/10/2023,7:02:18,-3.5,USD,,6011,ATM Withdrawal Fee,Fees,ATM Fee,withdrawal,FALSE,,1439.54,,,USA
TXN300013,ACC40003,09/10/2023,11:31:55,-105,USD,Comcast,4899,Comcast Cable Bill,Utilities,Internet,payment,TRUE,monthly,4006.35,Chicago,IL,USA
TXN300014,ACC40004,09/10/2023,19:41:00,-17.89,USD,Uber,4121,Uber Trip 10/9 Uptown,Transportation,Rideshare,debit,FALSE,,1132.48,New York,NY,USA
TXN300015,ACC40005,10/10/2023,8:09:31,1200,USD,ACH Transfer,0,Incoming Transfer via ACH,Transfer,ACH In,deposit,FALSE,,3424.67,,,USA
TXN300016,ACC40001,10/10/2023,17:45:12,-54.3,USD,Lyft,4121,Lyft Ride Home 10/10,Transportation,Rideshare,debit,FALSE,,3171.76,Austin,TX,USA
TXN300017,ACC40002,11/10/2023,13:50:26,-9.99,USD,Spotify,5735,Spotify Subscription,Entertainment,Streaming Services,payment,TRUE,monthly,1429.55,,,USA
TXN300018,ACC40003,11/10/2023,8:40:00,-2.5,USD,,6012,Monthly Service Fee,Fees,Account Maintenance,debit,FALSE,,4003.85,,,USA
TXN300019,ACC40004,12/10/2023,21:15:23,-57.99,USD,Trader Joe's,5411,Trader Joe's Grocery 123,Groceries,Supermarkets,debit,FALSE,,1074.49,Chicago,IL,USA
TXN300020,ACC40005,12/10/2023,18:18:18,-4.99,USD,,6011,ATM Withdrawal Fee,Fees,ATM Fee,withdrawal,FALSE,,3419.68,,,USA
TXN300021,ACC40001,13/10/2023,16:35:38,-132.6,USD,Costco,5300,Costco Bulk Purchase,Groceries,Warehouse Clubs,debit,FALSE,,3039.16,Houston,TX,USA
TXN300022,ACC40002,13/10/2023,14:01:55,-22.45,USD,Taco Bell,5812,Taco Bell Fast Food,Food & Drink,Fast Food,debit,FALSE,,1407.1,Phoenix,AZ,USA
TXN300023,ACC40003,14/10/2023,15:12:40,-184.85,USD,IKEA,5712,IKEA Furniture Purchase,Home,Furniture,debit,FALSE,,3819,Seattle,WA,USA
TXN300024,ACC40004,14/10/2023,9:00:00,0.01,USD,,0,Test Transaction,Other,,credit,FALSE,,1074.5,,,USA
TXN300025,ACC40005,14/10/2023,,-2000,EUR,AlpenResort Zermatt,7011,AlpenResort Hotel Booking,Travel,Hotel,debit,FALSE,,1419.68,Zermatt,,CHE
TXN300026,ACC40001,15/10/2023,13:03:03,-1,USD,,6011,ATM Withdrawal Fee,Fees,ATM Fee,withdrawal,FALSE,,3038.16,,,USA
TXN300027,ACC40002,16/10/2023,17:21:31,500,USD,Venmo Transfer,0,Venmo P2P Transfer,Transfer,P2P In,deposit,FALSE,,1907.1,,,USA
TXN300028,ACC40003,16/10/2023,20:11:40,-8.99,USD,Amazon,5942,Amazon Marketplace Purchase,Other,,debit,FALSE,,3810.01,Seattle,WA,USA
TXN300029,ACC40004,17/10/2023,12:00:00,-250,EUR,IKEA,5712,IKEA Paris Purchase,Home,Furniture,debit,FALSE,,824.5,Paris,,FRA
TXN300030,ACC40005,17/10/2023,11:22:33,0,USD,,0,Zero Value Test,Other,,deposit,FALSE,,1419.68,,,USA
TXN300031,ACC40001,18/10/2023,10:10:10,-50,USD,Walgreens,5912,Walgreens Pharmacy Purchase,Other,,debit,FALSE,,2988.16,Chicago,IL,USA
TXN300032,ACC40002,19/10/2023,,-13.95,USD,,6011,ATM Withdrawal Fee,Fees,ATM Fee,withdrawal,FALSE,,1893.15,,,USA
TXN300033,ACC40003,19/10/2023,21:09:09,-2,USD,,6012,Monthly Service Fee,Fees,Account Maintenance,debit,FALSE,,3808.01,,,USA
TXN300034,ACC40004,20/10/2023,17:45:12,-77.5,USD,Uber,4121,Uber Trip Airport,Transportation,Rideshare,debit,FALSE,,747,Houston,TX,USA
TXN300035,ACC40005,20/10/2023,10:45:50,-15,USD,Peet's Coffee,5814,Peet's Coffee Purchase,Food & Drink,Coffee Shops,debit,FALSE,,1404.68,San Francisco,CA,USA
TXN300036,ACC40001,21/10/2023,12:12:12,-99,USD,PG&E,4900,PG&E Utility Bill,Utilities,Electricity,payment,TRUE,monthly,2889.16,Oakland,CA,USA
TXN300037,ACC40002,22/10/2023,22:43:20,-19.9,USD,Uber,4121,Uber Trip Downtown,Transportation,Rideshare,debit,FALSE,,1873.25,New York,NY,USA
TXN300038,ACC40003,23/10/2023,13:01:01,75,USD,Amazon,5942,Amazon Refund - Damaged Item,Refund,Purchase Refund,credit,FALSE,,3883.01,Seattle,WA,USA
TXN300039,ACC40004,24/10/2023,18:23:54,-2100,EUR,Lufthansa,4511,Lufthansa Flight Booking,Travel,Airfare,payment,FALSE,,-1353,Munich,,DEU
TXN300040,ACC40005,24/10/2023,13:13:13,-66.67,USD,PG&E,4900,PG&E Utility Payment,Utilities,Electricity,payment,TRUE,monthly,1338.01,Oakland,CA,USA
TXN300041,ACC40001,25/10/2023,10:05:45,-6.5,USD,,6012,Account Maintenance Fee,Fees,Account Maintenance,debit,FALSE,,2882.66,,,USA
TXN300042,ACC40002,25/10/2023,9:09:09,-85.75,USD,Blue Cross Health,6300,Health Insurance Payment,Insurance,Health,payment,TRUE,monthly,1787.5,,,USA
TXN300043,ACC40003,25/10/2023,11:54:12,-110,USD,Comcast,4899,Comcast Cable Bill,Utilities,Internet,payment,TRUE,monthly,3773.01,Chicago,IL,USA
TXN300044,ACC40004,26/10/2023,12:12:12,-40.75,USD,Safeway,5411,Safeway Grocery Store,Groceries,Supermarkets,debit,FALSE,,-1393.75,San Francisco,CA,USA
TXN300045,ACC40005,27/10/2023,16:44:44,2485,USD,Chase Bank,0,Wire Transfer Incoming,Income,Wire Transfer,deposit,FALSE,,3823.01,,,USA
TXN300046,ACC40001,27/10/2023,13:33:33,-250,EUR,IKEA Deutschland,5712,IKEA Munich Purchase,Home,Furniture,debit,FALSE,,2632.66,Munich,,DEU
TXN300047,ACC40002,28/10/2023,18:18:18,-15.99,USD,Netflix,4899,Netflix Subscription Payment,Entertainment,Streaming Services,payment,TRUE,monthly,1771.51,,,USA
TXN300048,ACC40003,29/10/2023,8:10:11,-11.25,USD,Starbucks,5814,Starbucks Breakfast Coffee,Food & Drink,Coffee Shops,debit,FALSE,,3761.76,Seattle,WA,USA
TXN300049,ACC40004,30/10/2023,10:23:35,-1100,JPY,Tokyo Metro,4111,Tokyo Metro Rail Card,Transportation,Rail,payment,FALSE,,-2493.75,Tokyo,,JPN
TXN300050,ACC40005,31/10/2023,14:14:14,-1337,USD,Sunset Villas,6513,October Rent Sunset Villas,Rent,Apartment,payment,TRUE,monthly,2486.01,Austin,TX,USA
TXN000401,ACC10021,02/12/2023,15:08:36,-152.37,USD,Whole Foods Market,5411,Whole Foods Market - Grocery purchase,Groceries,Supermarkets,debit,FALSE,,2187.59,San Francisco,CA,USA
TXN000402,ACC10022,04/12/2023,9:22:11,2300,USD,Steadfast Payroll Inc.,0,Direct deposit payroll,Salary,,deposit,TRUE,monthly,4312.91,,,USA
TXN000403,ACC10103,05/12/2023,13:43:55,-47.6,USD,Uber,4121,Uber trip to downtown,Transportation,Ride Sharing,payment,FALSE,,1015.01,Chicago,IL,USA
TXN000404,ACC10042,06/12/2023,10:05:50,-94.32,USD,PG&E,4911,PG&E Utility Bill Payment,Utilities,Electricity,payment,TRUE,monthly,1408.45,San Jose,CA,USA
TXN000405,ACC10087,06/12/2023,19:12:37,-25.17,USD,Starbucks,5814,Starbucks coffee and snack,Food & Drink,Coffee Shops,debit,FALSE,,784.72,Seattle,WA,USA
TXN000406,ACC10234,07/12/2023,,0,USD,,0,Internal system transfer,Transfer,,transfer,FALSE,,3201.16,,,USA
TXN000407,ACC10015,09/12/2023,17:19:32,-150,USD,,0,Transfer to external account,Transfer,External Transfer,transfer,FALSE,,1422.94,,,USA
TXN000408,ACC10110,10/12/2023,11:36:45,1500,EUR,Lotto Corp,7996,Lotto Corp - prize payout,Income,Lottery,credit,FALSE,,1780,Berlin,,DEU
TXN000409,ACC10022,11/12/2023,12:44:22,-1250,USD,Sunset Villas,6513,Sunset Villas - Monthly Rent,Rent,Apartment,debit,TRUE,monthly,3062.91,Austin,TX,USA
TXN000410,ACC10044,11/12/2023,14:39:49,-62.45,USD,Safeway,5411,Safeway - grocery shopping,Groceries,Supermarkets,debit,FALSE,,986.25,Phoenix,AZ,USA
TXN000411,ACC10022,12/12/2023,8:25:05,-59.99,USD,Netflix,4899,Netflix - subscription payment,Entertainment,Subscriptions,payment,TRUE,monthly,3002.92,,,USA
TXN000412,ACC10109,12/12/2023,,-3.5,USD,,0,ATM withdrawal fee,Fees,ATM Fee,withdrawal,FALSE,,1176.13,,,USA
TXN000413,ACC10045,13/12/2023,13:55:50,-12.75,USD,Bank of America,6011,Account maintenance fee,Fees,Account Maintenance,debit,FALSE,,1209.01,,,USA
